0.999,-1,-1,0.999,-1,-1,-1,-1,-1,-1,0.456,0.688,0.688,0.456,0.308,0.788,0.453,0.453,0.788,0.453,0.2715,0.7728,0.3008,0.8393,0.3008,0.8393,0.2715,0.7728,0.2607,0.7155,0.66,0.58,0.15,0,0,0.65,0.33,0.54,0,0,0.65,0.33,0.54,0,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.076,0.007,-0.193,-0.137,-0.193,-0.137,0.076,0.007,-0.357,-0.206
-1,-1,0.000,-1,0.574,-1,-1,-1,-1,0.574,0.688,0.688,0.456,0.308,0.458,0.453,0.453,0.788,0.453,0.827,0.3008,0.8393,0.3008,0.8393,0.2715,0.7728,0.2607,0.7155,0.2653,0.6643,0.65,0.33,0.54,0,0,0.65,0.33,0.54,0,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.29,1.00,0.54,1,0,-0.193,-0.137,-0.193,-0.137,0.076,0.007,-0.357,-0.206,1.156,1.211
-1,0.703,-1,0.810,0.704,-1,-1,-1,0.810,0.704,0.688,0.456,0.308,0.458,0.395,0.453,0.788,0.453,0.827,0.854,0.3008,0.8393,0.2715,0.7728,0.2607,0.7155,0.2653,0.6643,0.2818,0.6170,0.65,0.33,0.54,0,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.29,1.00,0.54,1,0,0.76,1.00,0.71,1,0,-0.193,-0.137,0.076,0.007,-0.357,-0.206,1.156,1.211,1.605,1.342
0.574,-1,0.000,0.862,-1,-1,-1,0.000,0.862,-1,0.456,0.308,0.458,0.395,0.321,0.788,0.453,0.827,0.854,0.401,0.2715,0.7728,0.2607,0.7155,0.2653,0.6643,0.2818,0.6170,0.3062,0.5724,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.29,1.00,0.54,1,0,0.76,1.00,0.71,1,0,0.66,0.58,0.15,0,0,0.076,0.007,-0.357,-0.206,1.156,1.211,1.605,1.342,0.076,0.007
-1,0.862,0.000,-1,-1,-1,0.862,0.000,-1,-1,0.308,0.458,0.395,0.321,0.200,0.453,0.827,0.854,0.401,0.167,0.2607,0.7155,0.2653,0.6643,0.2818,0.6170,0.3062,0.5724,0.3347,0.5299,0.05,0.30,0.34,0,0,0.29,1.00,0.54,1,0,0.76,1.00,0.71,1,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,-0.357,-0.206,1.156,1.211,1.605,1.342,0.076,0.007,-0.357,-0.206
0.860,0.999,-1,-1,-1,0.860,0.999,-1,-1,-1,0.458,0.395,0.321,0.200,0.323,0.827,0.854,0.401,0.167,0.353,0.2653,0.6643,0.2818,0.6170,0.3062,0.5724,0.3347,0.5299,0.3631,0.4893,0.29,1.00,0.54,1,0,0.76,1.00,0.71,1,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.66,0.58,0.15,0,0,1.156,1.211,1.605,1.342,0.076,0.007,-0.357,-0.206,0.076,0.007
0.999,-1,-1,-1,-1,0.999,-1,-1,-1,-1,0.395,0.321,0.200,0.323,0.411,0.854,0.401,0.167,0.353,0.324,0.2818,0.6170,0.3062,0.5724,0.3347,0.5299,0.3631,0.4893,0.3878,0.4509,0.76,1.00,0.71,1,0,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.66,0.58,0.15,0,0,0.05,0.92,0.37,0,1,1.605,1.342,0.076,0.007,-0.357,-0.206,0.076,0.007,-0.287,-0.409
-1,-1,-1,-1,0.122,-1,-1,-1,-1,-1,0.321,0.200,0.323,0.411,0.176,0.401,0.167,0.353,0.324,0.577,0.3062,0.5724,0.3347,0.5299,0.3631,0.4893,0.3878,0.4509,0.4059,0.4153,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.66,0.58,0.15,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.076,0.007,-0.357,-0.206,0.076,0.007,-0.287,-0.409,-0.322,-0.047
-1,-1,-1,0.822,-1,-1,-1,-1,-1,-1,0.200,0.323,0.411,0.176,0.308,0.167,0.353,0.324,0.577,0.439,0.3347,0.5299,0.3631,0.4893,0.3878,0.4509,0.4059,0.4153,0.4047,0.3790,0.05,0.30,0.34,0,0,0.66,0.58,0.15,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,-0.357,-0.206,0.076,0.007,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409
-1,-1,0.000,-1,0.756,-1,-1,-1,-1,-1,0.323,0.411,0.176,0.308,0.144,0.353,0.324,0.577,0.439,0.587,0.3631,0.4893,0.3878,0.4509,0.4059,0.4153,0.4047,0.3790,0.4115,0.3591,0.66,0.58,0.15,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.076,0.007,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409,-0.322,-0.047
-1,0.852,-1,0.767,-1,-1,-1,-1,-1,-1,0.411,0.176,0.308,0.144,0.439,0.324,0.577,0.439,0.587,0.391,0.3878,0.4509,0.4059,0.4153,0.4047,0.3790,0.4115,0.3591,0.3999,0.3377,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409
0.756,-1,0.000,-1,-1,-1,-1,-1,-1,-1,0.176,0.308,0.144,0.439,0.238,0.577,0.439,0.587,0.391,0.272,0.4059,0.4153,0.4047,0.3790,0.4115,0.3591,0.3999,0.3377,0.3795,0.3224,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.66,0.58,0.15,0,0,-0.322,-0.047,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409,0.076,0.007
-1,0.846,-1,-1,-1,-1,-1,-1,-1,-1,0.308,0.144,0.439,0.238,0.160,0.439,0.587,0.391,0.272,0.337,0.4047,0.3790,0.4115,0.3591,0.3999,0.3377,0.3795,0.3224,0.3501,0.3072,0.05,0.92,0.37,0,1,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,-0.287,-0.409,-0.322,-0.047,-0.287,-0.409,0.076,0.007,-0.357,-0.206
0.633,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.144,0.439,0.238,0.160,0.426,0.587,0.391,0.272,0.337,0.432,0.4115,0.3591,0.3999,0.3377,0.3795,0.3224,0.3501,0.3072,0.3189,0.2954,0.00,0.25,0.45,0,0,0.05,0.92,0.37,0,1,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.60,0.56,0.44,0,0,-0.322,-0.047,-0.287,-0.409,0.076,0.007,-0.357,-0.206,0.070,0.061
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.439,0.238,0.160,0.426,0.487,0.391,0.272,0.337,0.432,0.401,0.3999,0.3377,0.3795,0.3224,0.3501,0.3072,0.3189,0.2954,0.2933,0.2894,0.05,0.92,0.37,0,1,0.66,0.58,0.15,0,0,0.05,0.30,0.34,0,0,0.60,0.56,0.44,0,0,1.00,0.92,0.26,0,1,-0.287,-0.409,0.076,0.007,-0.357,-0.206,0.070,0.061,-0.394,-0.489
